metro_fips,metro,metro_ascii,metro_full,county_name,county_fips,state_id,state_name,lat_x,lng_x,population,met,lat_y,lng_y
35380,New Orleans,New Orleans,"New Orleans-Metairie, LA",Plaquemines,22075,LA,Louisiana,29.7832,-89.957,966230,New Orleans,,
28940,"Knoxville, TN","Knoxville, TN","Knoxville, TN",Blount,47009,TN,Tennessee,36.0448,-84.1375,957376,"Knoxville, TN",,
35840,North Port,North Port,"North Port-Bradenton-Sarasota, FL",Manatee,12081,FL,Florida,27.3479,-82.3223,934956,North Port,,
10740,"Albuquerque, NM","Albuquerque, NM","Albuquerque, NM",Sandoval,35043,NM,New Mexico,35.1223,-106.4716,929919,"Albuquerque, NM",,
12540,Bakersfield,Bakersfield,"Bakersfield-Delano, CA",Kern,6029,CA,California,35.3426,-118.7301,922529,Bakersfield,,
32580,McAllen,McAllen,"McAllen-Edinburg-Mission, TX",Hidalgo,48215,TX,Texas,26.3969,-98.1812,914820,McAllen,,
10580,Albany,Albany,"Albany-Schenectady-Troy, NY",Saratoga,36091,NY,New York,42.7885,-73.942,913485,Albany,,
10900,Allentown,Allentown,"Allentown-Bethlehem-Easton, PA-NJ",Carbon,42025,PA,Pennsylvania,40.7894,-75.4039,886418,Allentown,,
12940,"Baton Rouge, LA","Baton Rouge, LA","Baton Rouge, LA",Livingston,22063,LA,Louisiana,30.5173,-91.127,882652,"Baton Rouge, LA",,
49340,"Worcester, MA","Worcester, MA","Worcester, MA",Worcester,25027,MA,Massachusetts,42.3514,-71.9077,881248,"Worcester, MA",,
21340,"El Paso, TX","El Paso, TX","El Paso, TX",Hudspeth,48229,TX,Texas,31.5131,-105.541,877840,"El Paso, TX",,
17900,"Columbia, SC","Columbia, SC","Columbia, SC",Richland,45079,SC,South Carolina,34.0918,-81.0424,871176,"Columbia, SC",,
16700,Charleston,Charleston,"Charleston-North Charleston, SC",Berkeley,45015,SC,South Carolina,33.0425,-80.0443,869940,Charleston,,
15980,Cape Coral,Cape Coral,"Cape Coral-Fort Myers, FL",Lee,12071,FL,Florida,26.578,-81.8332,860959,Cape Coral,,
29460,Lakeland,Lakeland,"Lakeland-Winter Haven, FL",Polk,12105,FL,Florida,27.9489,-81.6976,852878,Lakeland,,
14260,"Boise City, ID","Boise City, ID","Boise City, ID",Owyhee,16073,ID,Idaho,43.016,-116.1432,844979,"Boise City, ID",,
37100,Oxnard,Oxnard,"Oxnard-Thousand Oaks-Ventura, CA",Ventura,6111,CA,California,34.4561,-119.0836,835427,Oxnard,,
19430,Dayton,Dayton,"Dayton-Kettering-Beavercreek, OH",Montgomery,39113,OH,Ohio,39.8295,-84.1419,821740,Dayton,,
